Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR
0,145,0,1085,0,12,0,28.2,0.475222072,3.828792051
2,210.8816823,20.44350634,1084.858275,2.787839156,18.33979569,4.842134341,43.09851987,0.89686668,5.518624211
3,224.913313,0,1086,0,15,0,35.25,0.661886761,4.92411429
4,260,0,1080,0,20,0,47,0.729822539,6.507114746
5,435.2976088,49.51961085,1080.53912,3.652763614,15.31732444,4.249503484,35.99571244,0.790080192,11.78218585
16,267.6955014,7.963806875,1088.567332,0.530737684,14.64435306,0.807712716,34.41422968,0.925777328,7.038388835
18,360,0,1081.507642,0,18,0,42.3,0.419084802,8.407227737
19,275,0,1084,0,11.60241041,0,27.26566446,0.48970372,7.30354551
21,315.0991561,0,1083.473548,0,16.69662825,0,39.23707638,0.876679256,7.734773359
30,141.4841609,8.255591735,1088.61601,1.21924018,16.39084735,2.096589224,38.51849128,0.863338926,3.765823502
37,273.893342,0,1075.624697,0,23.18493608,0,54.4845998,0.831102042,7.839497536
47,319.0697647,25.89765451,1081.87019,2.465799441,16.07854064,3.190973279,37.7845705,0.91214183,9.533845377
52,265.2354766,35.51891394,1080.522135,4.625863,15.86477666,5.436905102,37.28222514,0.653997684,6.698099656
53,255,0,1085,0,25,0,58.75,0.633872745,6.543606881
61,206.7582313,0,1075,0,12,0,28.2,0.668932069,6.104395333
67,306.3579829,23.20524087,1084.489852,1.711119971,15.65915656,2.542653323,36.79901793,0.816566382,8.588733218
68,212.4445418,0,1085,0,20,0,47,0.573798655,5.612214076
73,199.8420409,0,1085.323057,0,15.09719188,0,35.47840093,0.720189525,5.757855819
86,122.7393983,12.82293728,1079.32787,3.933281633,15.41092598,4.234182724,36.21567606,0.93315841,3.433142807
91,225.3165925,44.7801278,1080.9463,4.087957447,12.57830087,4.718718333,29.55900704,0.760342891,4.882271353
